countries,2022-2023(Apr-Dec),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
CHINA P RP,3.48,1.71,0.35,0.34,0.14,0.22,0.21,0.1,0.33,0.02,0.07,0.27,1.21,0.57,0.33,0.1,0.07,0.02,0.13,0.03,,0.06,0.0,0.03,0.0,0.02
COLOMBIA,0.08,0.15,0.07,0.1,0.11,0.14,0.72,0.26,0.45,0.82,0.31,0.01,0.26,0.06,0.04,,0.0,,0.12,0.0,0.02,,,0.03,0.0,
COMOROS,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,0.01,,,,,,,,,
CONGO P REP,0.01,0.33,0.43,0.16,0.03,0.08,0.01,0.07,0.13,0.05,0.01,0.17,0.6,0.33,0.47,0.1,0.15,0.15,0.17,0.14,0.13,0.15,0.03,0.0,0.04,0.03
COSTA RICA,0.0,0.01,0.01,0.02,0.03,0.07,0.02,0.05,0.01,0.04,0.04,0.03,0.03,0.07,0.03,0.0,,0.01,,,0.0,,0.01,,,
CROATIA,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,
CYPRUS,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.0,,0.01,
CZECH REPUBLIC,0.04,0.09,0.05,0.07,0.09,0.07,0.06,0.16,0.07,0.07,0.04,0.03,0.03,0.01,0.01,0.08,0.04,0.0,0.0,,0.03,0.0,0.01,0.01,0.01,0.0
DENMARK,0.25,0.24,0.02,0.01,0.0,0.22,0.2,0.39,0.32,0.58,0.04,0.06,0.01,0.0,0.05,0.0,0.0,0.01,0.05,0.01,0.04,0.25,0.08,0.07,0.06,
DJIBOUTI,0.07,0.25,0.07,0.06,0.05,0.03,0.11,0.14,0.08,0.03,0.02,0.02,0.1,0.05,0.12,0.15,0.14,0.16,0.2,0.34,0.22,0.31,0.01,0.09,,0.01
DOMINIC REP,0.01,0.01,0.02,0.01,0.0,0.01,0.0,0.01,0.02,0.19,,,0.0,,,0.0,0.01,,0.04,0.01,0.03,0.03,,0.02,,
DOMINICA,,0.0,0.01,0.0,,,0.01,,,0.0,,,,,,,,,,,,,,,,
ECUADOR,0.01,0.03,0.03,,0.0,0.0,,0.0,,,,,0.07,0.03,0.01,,0.01,,,0.0,0.0,,0.01,,,
EGYPT A RP,0.05,0.2,0.3,0.12,0.02,0.09,0.11,0.14,0.51,0.54,0.86,0.83,1.11,0.52,0.06,0.1,0.01,0.05,0.06,0.04,0.03,0.58,0.41,0.1,0.15,0.1
ESTONIA,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.06,0.0,0.0,,,,0.0,0.01,0.02,0.01,,,,,,,,,
ETHIOPIA,0.11,0.16,0.09,0.31,0.12,0.62,0.67,0.21,0.53,0.34,0.02,0.43,0.2,0.2,0.54,0.17,0.1,0.1,0.08,0.44,0.13,0.45,0.14,0.02,0.07,0.02
EQUTL GUINEA,0.0,0.0,0.0,0.0,0.0,0.0,,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
CAMEROON,0.67,0.51,0.02,0.02,0.02,,0.09,0.01,0.0,0.03,0.0,0.15,0.04,0.09,0.01,0.01,,0.01,,0.01,0.0,,,,,
MAURITIUS,0.79,0.97,0.79,0.76,0.68,0.63,0.56,0.61,0.74,0.74,0.66,0.86,0.57,0.54,0.49,0.54,0.32,0.38,0.42,0.45,0.27,0.28,0.33,0.27,0.15,0.27
CAMBODIA,0.43,0.39,0.33,0.5,0.4,0.36,0.35,0.27,0.26,0.23,0.22,0.21,0.14,0.07,0.25,0.07,0.02,0.02,0.05,0.02,0.01,0.0,,0.0,0.0,0.0
BURUNDI,0.01,0.0,0.0,,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,,0.0,0.0,0.01,,,,0.0,,0.0,0.0,,
ALBANIA,,0.0,0.01,0.0,,0.0,0.0,0.02,,0.0,,,,,,,,,,,,,,,,
ALGERIA,,0.04,0.51,0.66,0.44,0.23,0.14,0.43,0.47,0.66,0.38,0.16,0.35,0.3,0.46,0.14,0.14,0.18,0.1,,0.02,0.74,0.28,0.14,,
ANGOLA,1.25,0.97,0.37,0.8,1.37,1.9,0.77,0.92,2.14,2.41,1.04,1.48,1.07,0.53,0.59,0.64,0.3,0.29,0.1,0.09,0.03,,,,,
ARGENTINA,0.12,0.14,0.26,0.13,0.13,0.03,0.01,0.0,0.0,0.03,0.05,0.02,0.28,0.11,0.21,0.02,,0.0,,,,0.03,0.13,0.04,0.04,0.06
ARMENIA,0.0,0.01,0.0,0.01,0.02,0.02,0.01,0.11,0.02,0.02,0.01,0.06,0.02,0.01,0.0,0.02,0.01,,0.0,,0.01,,,,0.0,
AUSTRALIA,2.72,3.05,2.55,1.8,2.04,1.64,1.22,1.01,1.02,1.0,1.23,1.16,1.19,1.21,1.63,0.78,0.56,1.0,0.08,0.23,0.09,0.28,0.02,0.09,0.07,0.16
AUSTRIA,0.02,0.07,0.05,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.07,0.02,0.01,0.0,0.0,0.02,0.01,0.0,0.0,,,0.0,0.01,0.07,0.02
AZERBAIJAN,0.03,0.0,0.01,0.05,0.05,0.04,0.0,0.04,0.02,0.02,0.0,0.1,0.15,0.02,0.05,0.03,0.06,0.14,0.13,0.11,0.09,0.37,0.04,0.03,0.02,0.01
BAHARAIN IS,0.17,0.16,0.16,0.2,0.23,0.22,0.3,0.31,0.41,0.34,0.28,0.31,0.38,0.17,0.24,0.14,0.08,0.12,0.11,0.09,0.06,0.04,0.04,0.02,0.01,0.0
BANGLADESH PR,13.84,21.56,16.07,18.67,13.09,12.86,11.32,10.72,7.74,9.39,8.81,6.41,4.77,2.07,1.53,1.85,1.43,0.39,0.36,0.36,0.23,0.84,0.53,0.03,0.09,0.17
BARBADOS,0.0,,0.02,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,,0.0,,0.0,0.0,,0.0,,,0.07,,,0.0,,
BELIZE,0.0,0.0,,0.0,0.01,0.05,,0.01,0.0,0.0,0.01,0.02,0.01,,0.0,,,0.0,,,,,,,,
BELGIUM,0.03,0.19,0.36,0.27,0.3,0.48,0.19,0.33,0.45,0.36,0.83,0.1,0.15,0.05,1.57,0.32,0.16,0.05,0.01,0.07,0.03,0.0,0.01,,0.0,0.0
BENIN,0.11,0.0,0.0,0.07,0.25,0.17,0.15,0.27,0.15,0.12,0.13,0.47,1.1,0.53,0.48,0.26,0.34,0.11,0.1,0.0,0.02,0.02,0.06,,,
BHUTAN,1.46,1.78,1.25,0.97,0.89,1.19,1.22,1.17,1.09,0.72,0.02,0.01,0.0,0.01,,0.07,0.2,0.13,0.14,0.13,,,,,0.0,0.02
BOLIVIA,0.08,0.03,0.16,0.03,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,,,,,
BOSNIA-HRZGOVIN,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.05,0.04,0.01,0.0,0.02,,,,,
BOTSWANA,0.02,0.04,0.06,0.14,0.16,0.12,0.13,0.3,0.13,0.15,0.08,0.14,0.04,0.06,0.02,0.05,0.03,0.03,0.01,0.0,,0.01,0.0,0.05,0.0,
BRAZIL,0.07,0.06,0.04,0.04,0.02,0.06,0.02,0.01,0.01,0.0,0.51,0.0,0.2,0.02,0.14,0.0,0.02,0.01,0.04,,0.01,0.02,0.02,0.0,0.0,0.04
BR VIRGN IS,0.0,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,
BRUNEI,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.04,,0.0,0.02,0.0,0.0,,0.01,0.01,0.01,0.01,0.0,,0.0,0.01
BULGARIA,0.0,0.01,0.0,0.01,0.02,0.02,0.05,0.04,0.04,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.11,0.01,0.06,0.04,0.0,,
BURKINA FASO,0.0,0.0,0.01,0.16,0.16,0.06,0.13,0.01,0.0,,,,0.0,0.01,,0.01,0.03,,0.02,0.0,,,,,,
BELARUS,0.03,0.04,0.04,0.03,0.04,,0.0,0.04,0.08,0.14,0.24,0.02,0.02,0.01,0.07,0.2,0.17,0.17,0.02,,,,,,,
FIJI IS,0.53,0.61,0.5,0.46,0.59,0.55,0.39,0.4,0.34,0.27,0.36,0.34,0.24,0.22,0.21,0.16,0.15,0.17,0.17,0.15,0.18,0.11,0.11,0.3,0.2,0.0
FINLAND,0.04,0.03,0.02,0.02,0.02,0.03,0.03,0.18,0.03,0.03,0.18,0.43,0.45,0.0,0.08,0.03,0.0,0.02,0.02,,,,,0.03,,
FR GUIANA,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.02,,,,,
JAMAICA,0.0,0.02,0.0,0.01,0.0,,0.03,0.02,,,0.0,0.01,0.03,0.01,0.01,0.04,0.0,0.02,0.07,0.06,0.01,0.0,,0.01,,
JAPAN,0.09,0.34,0.35,0.44,0.1,0.09,0.15,0.15,0.13,0.18,0.21,0.59,0.56,0.05,0.05,0.11,0.03,0.05,0.04,0.15,0.04,0.12,0.02,0.12,0.12,0.05
JORDAN,0.17,0.06,0.05,0.02,0.04,0.04,0.07,0.12,0.3,0.43,0.59,0.44,0.75,0.4,1.12,0.21,0.05,0.02,0.02,0.09,0.1,0.18,0.05,0.04,0.0,0.06
KAZAKHSTAN,0.2,0.31,0.21,0.19,0.09,0.07,0.05,0.03,0.09,0.27,0.14,0.14,0.19,0.08,0.1,0.02,0.04,0.25,0.08,0.24,,0.0,0.01,0.03,,0.0
KENYA,0.54,0.67,0.54,0.89,0.91,0.98,1.25,0.84,2.78,1.61,1.08,3.0,2.81,1.75,2.51,1.98,2.03,1.56,0.57,0.58,0.28,0.15,0.31,0.19,0.06,0.09
KYRGHYZSTAN,0.0,0.0,0.04,0.02,0.03,0.03,0.07,0.04,0.03,0.02,0.01,0.01,0.05,0.02,0.01,0.01,0.06,0.02,0.01,,0.0,0.03,,0.0,0.08,
KOREA RP,0.82,5.14,0.71,0.57,0.77,0.47,0.35,0.62,0.35,0.08,0.05,0.16,0.27,0.39,0.28,0.24,0.11,0.01,0.02,0.01,0.01,0.04,0.01,0.07,,0.0
KUWAIT,0.52,0.61,0.63,0.93,1.05,0.86,1.19,1.35,0.86,0.69,0.91,0.85,0.67,0.9,0.56,0.52,0.18,0.27,0.21,0.12,0.1,0.02,0.05,0.11,0.06,0.03
LAO PD RP,,0.0,,,0.01,,,,,,,,,,,,,,,,,,,,,
LATVIA,0.24,0.32,0.47,1.93,1.23,1.44,1.01,1.07,1.23,1.76,2.03,0.97,1.13,0.99,0.39,0.04,0.08,0.05,0.01,,0.0,,0.0,0.0,,
LEBANON,0.02,0.01,0.0,0.05,0.11,0.05,0.08,0.12,0.11,0.32,0.14,0.26,0.43,0.17,0.14,0.13,0.14,0.01,0.06,0.04,0.18,0.09,0.01,0.0,0.04,0.03
COTE D' IVOIRE,0.15,0.12,0.4,0.26,0.25,0.05,0.17,0.02,0.02,0.15,0.12,0.05,0.08,0.24,0.29,0.2,0.04,0.04,0.01,0.02,0.0,0.0,0.02,0.05,0.02,0.0
LESOTHO,,0.0,0.01,0.01,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,
LIBYA,0.16,0.47,0.16,0.13,0.46,0.02,0.1,0.11,0.1,0.57,0.36,0.09,0.37,0.02,0.19,0.08,0.0,0.02,0.04,0.01,,0.0,,0.15,,
LITHUANIA,0.04,0.03,0.05,0.06,0.03,0.01,0.02,0.02,0.01,0.03,0.01,0.0,0.02,0.02,0.06,0.01,0.01,0.02,,,,,,,0.04,0.06
LUXEMBOURG,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,,
MACEDONIA,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
MADAGASCAR,0.01,0.05,0.02,0.02,0.02,0.06,0.0,0.01,0.09,0.03,0.02,0.01,0.14,0.0,0.0,0.01,0.01,0.0,0.03,0.02,0.03,0.06,0.07,0.02,0.03,0.03
MALAWI,0.05,0.19,0.11,0.11,0.09,0.07,0.18,0.02,0.04,0.03,0.02,0.01,0.01,0.02,0.07,0.02,0.01,0.22,0.03,0.02,,,0.0,0.0,0.02,0.01
MALAYSIA,2.8,3.49,3.25,3.88,5.32,5.01,5.22,4.9,4.37,5.15,5.93,4.85,6.17,3.51,4.97,0.81,0.87,1.01,0.93,4.23,3.11,3.67,2.94,2.67,1.81,2.91
MALDIVES,1.36,1.63,0.95,1.15,1.18,1.46,0.89,1.21,1.02,0.78,0.76,0.75,0.67,0.52,0.55,0.31,0.34,0.28,0.26,0.2,0.27,0.18,0.21,0.14,0.11,0.08
MALI,0.02,0.03,0.03,0.06,0.08,0.06,0.08,0.04,,0.01,0.01,0.0,0.02,,0.01,,0.01,,,,0.0,,0.08,0.0,,0.0
MALTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.01,0.0,0.01,0.0,0.0,,0.0,0.0,0.0,,,0.02,0.02,0.05
MARTINIQUE,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,,,,,,,,,,,,0.01
LIBERIA,0.07,0.14,0.17,0.09,0.1,0.09,0.24,0.32,0.15,0.16,0.18,0.33,0.2,0.2,0.04,0.07,0.02,0.01,0.05,0.0,,,,,,0.01
ITALY,0.08,0.91,0.65,1.05,0.71,0.86,0.66,1.03,0.63,0.9,0.58,0.15,0.17,0.06,0.02,0.06,0.09,0.05,0.1,0.13,0.01,0.05,0.03,0.08,0.06,0.06
STATE OF PALEST,0.01,,,0.0,0.03,,,,,,,,,,,,,,,,,,,,,
ISRAEL,0.05,0.16,0.1,0.07,0.13,0.13,0.09,0.16,0.2,0.09,0.05,0.07,0.1,0.23,0.33,0.02,0.02,0.0,0.05,0.21,0.09,0.17,0.07,0.04,0.04,0.0
GABON,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,
GAMBIA,0.09,0.05,0.15,0.31,0.08,0.05,0.07,0.02,0.01,0.11,0.12,0.01,0.02,0.02,0.04,0.03,0.0,,,0.0,0.0,0.0,,,,
GEORGIA,0.01,0.03,0.01,0.01,0.02,0.01,0.03,0.02,0.0,0.05,0.02,0.01,0.0,0.02,0.04,0.06,0.01,,0.0,0.0,0.0,0.0,0.0,,0.0,
GERMANY,1.1,2.7,2.88,2.4,3.58,2.45,1.49,2.28,2.22,1.7,0.93,1.17,1.74,1.13,4.7,0.12,0.08,0.09,0.12,0.2,0.14,0.36,0.22,0.28,0.25,0.13
GHANA,0.31,0.27,0.54,0.34,0.26,0.3,0.52,0.31,0.24,0.4,0.23,0.11,0.13,0.1,0.17,0.11,0.15,0.15,0.15,0.08,0.02,0.0,0.04,0.02,0.03,0.02
GREECE,0.01,0.15,0.05,0.14,0.07,0.02,0.06,0.1,0.01,0.0,0.0,0.08,0.07,0.1,0.12,0.13,0.04,0.02,0.07,0.0,0.0,0.0,0.01,,0.0,0.0
GRENADA,,0.0,0.04,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,
GUADELOUPE,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.01,,,,,,
GUAM,,0.01,0.0,,,0.0,,,,,,,,,,,,,,0.0,,0.01,,,,
GUATEMALA,0.0,0.08,0.03,0.14,0.07,0.06,0.07,0.17,0.04,0.03,0.01,0.0,,0.03,0.01,0.0,0.0,0.0,,,0.0,0.0,0.0,,,
GUINEA,0.02,0.03,0.02,0.03,0.03,0.11,0.03,0.05,0.02,0.06,0.0,0.03,0.03,0.01,0.0,0.01,0.01,0.02,0.01,,0.0,0.0,,,,0.0
GUINEA BISSAU,0.0,0.0,0.0,,,,,,0.02,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,
GUYANA,0.14,0.13,0.18,0.14,0.16,0.12,0.15,0.07,0.05,0.07,0.04,0.04,0.03,0.05,0.04,0.02,0.02,0.01,0.1,0.01,0.03,0.03,0.01,,0.02,0.06
HAITI,1.37,1.05,2.74,1.45,1.91,3.37,2.68,2.32,2.49,2.91,1.83,1.51,1.43,1.12,0.96,0.83,0.68,0.89,0.41,0.24,0.07,,,,,
HONDURAS,0.22,0.28,0.08,0.33,0.15,0.04,0.0,,0.01,0.05,0.02,,,,0.0,0.0,0.0,,0.0,,,,,,,
HONG KONG,0.96,0.59,0.45,0.57,0.79,0.83,0.43,0.31,2.82,0.38,0.19,0.33,0.4,0.15,0.11,0.04,0.02,0.02,0.02,0.0,0.1,0.01,0.19,0.01,0.03,0.06
HUNGARY,0.02,0.28,0.21,0.25,0.21,0.28,0.18,0.37,0.27,0.22,0.11,0.07,0.08,0.02,0.0,0.02,0.01,0.01,0.0,,,0.0,0.0,,,
ICELAND,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.01,,0.0,,,,,,,,
INDONESIA,3.14,5.37,8.0,7.05,5.71,6.38,4.11,2.88,1.98,2.69,1.43,1.66,1.31,0.67,0.59,0.18,0.22,0.26,0.08,0.33,0.23,0.15,0.08,0.01,0.01,0.02
IRAN,0.1,0.43,0.72,0.19,0.59,0.15,0.58,0.49,0.41,1.05,0.99,1.79,1.56,1.07,0.92,0.26,0.55,0.12,0.02,0.08,0.0,,,0.12,,
IRAQ,2.11,1.4,1.36,0.75,0.95,0.91,0.95,0.94,0.93,0.48,0.34,0.06,0.25,0.23,0.32,0.12,,,,,,,,,,
IRELAND,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.02,0.04,0.06,0.04,0.01,0.0,0.0,0.02,0.02,0.02,0.01,0.0,0.0,,0.0,0.0,,,
FRANCE,1.7,3.16,4.4,4.27,3.26,3.55,2.75,4.42,1.74,2.76,1.18,1.1,0.57,0.19,0.36,0.15,0.17,0.1,0.05,0.18,0.5,0.17,0.01,0.09,0.09,0.02
CANARY IS,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Total,258.79,197.24,152.94,168.64,174.25,161.31,161.33,152.65,150.2,164.85,138.51,153.24,142.11,108.65,119.24,64.48,52.45,37.7,29.98,47.78,34.96,43.04,28.68,24.98,19.32,24.66
India's Total,336365.56,422004.4,291808.48,313361.04,330078.09,303526.16,275852.43,262291.09,310338.48,314405.3,300400.58,305963.92,249815.55,178751.43,185295.36,163132.18,126414.05,103090.53,83535.94,63842.55,52719.43,43826.72,44560.29,36822.49,33218.72,34784.98
%Share,0.0769,0.0467,0.0524,0.0538,0.0528,0.0531,0.0585,0.0582,0.0484,0.0524,0.0461,0.0501,0.0569,0.0608,0.0643,0.0395,0.0415,0.0366,0.0359,0.0748,0.0663,0.0982,0.0644,0.0678,0.0582,0.0709
